Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Avril,LUNDI,02/04/2018,09:00:00,12:30:00,14:30:00,18:30:00
Avril,MARDI,03/04/2018,09:00:00,12:30:00,14:30:00,18:30:00
Avril,MERCREDI,04/04/2018,,,14:00:00,18:00:00
Avril,JEUDI,05/04/2018,09:00:00,14:00:00,14:30:00,18:30:00
Avril,VENDREDI,06/04/2018,09:00:00,14:00:00,14:30:00,18:30:00
Avril,SAMEDI,07/04/2018,,,,
Avril,DIMANCHE,08/04/2018,,,,
Avril,LUNDI,09/04/2018,09:30:00,14:00:00,14:30:00,19:00:00
Avril,MARDI,10/04/2018,09:00:00,12:30:00,13:00:00,18:30:00
Avril,MERCREDI,11/04/2018,,,14:30,16:00:00
Avril,JEUDI,12/04/2018,09:00:00,12:30:00,14:30:00,19:00:00
Avril,VENDREDI,13/04/2018,09:00:00,13:00:00,13:30:00,18:30:00
Avril,SAMEDI,14/04/2018,,,,
Avril,DIMANCHE,15/04/2018,,,,
Avril,LUNDI,16/04/2018,09:00:00,12:30:00,14:30:00,18:30:00
Avril,MARDI,17/04/2018,09:00:00,13:00:00,14:00:00,18:00:00
Avril,MERCREDI,18/04/2018,,,14:30:00,18:30:00
Avril,JEUDI,19/04/2018,08:30:00,13:00:00,13:30:00,20:00:00
Avril,VENDREDI,20/04/2018,08:30:00,12:00:00,12:30:00,20:00:00
Avril,SAMEDI,21/04/2018,,,,
Avril,DIMANCHE,22/04/2018,,,,
Avril,LUNDI,23/04/2018,09:00:00,12:00,13:00:00,18:00:00
Avril,MARDI,24/04/2018,09:00,12:00:00,13:00:00,18:00:00
Avril,MERCREDI,25/04/2018,,,13:00:00,19:30:00
Avril,JEUDI,26/04/2018,09:00,14:00:00,14:30:00,19:00:00
Avril,VENDREDI,27/04/2018,09:00,14:00:00,14:30:00,19:00:00
Avril,SAMEDI,28/04/2018,,,,
Avril,DIMANCHE,29/04/2018,,,,
Avril,LUNDI,30/04/2018,09:00:00,12:00:00,12:30:00,18:00:00
Mai,MARDI,01/05/2018,09:00:00,12:00:00,12:30:00,18:00:00
Mai,MERCREDI,02/05/2018,,,14:00,18:00:00
Mai,JEUDI,03/05/2018,09:00:00,12:00:00,12:30:00,18:00:00
Mai,VENDREDI,04/05/2018,09:00:00,12:00:00,12:30:00,15:00:00
Mai,SAMEDI,05/05/2018,,,,
Mai,DIMANCHE,06/05/2018,,,,
