Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Décembre,LUNDI,03/12/2018,09:00:00,12:00:00,13:00:00,21:30:00
Décembre,MARDI,04/12/2018,08:30:00,13:00:00,,
Décembre,MERCREDI,05/12/2018,,,14:30:00,23:00:00
Décembre,JEUDI,06/12/2018,08:30:00,12:00:00,13:00:00,19:30:00
Décembre,VENDREDI,07/12/2018,08:30:00,12:00:00,13:00:00,19:30:00
Décembre,SAMEDI,08/12/2018,09:30:00,13:00:00,14:00:00,19:00
Décembre,DIMANCHE,09/12/2018,11:00,13:00:00,14:00:00,20:30:00
Décembre,LUNDI,10/12/2018,08:30:00,13:00:00,13:30:00,19:00:00
Décembre,MARDI,11/12/2018,09:00:00,13:00:00,,
Décembre,MERCREDI,12/12/2018,,,,
Décembre,JEUDI,13/12/2018,19:00:00,14:00:00,14:00:00,01:00:00
Décembre,VENDREDI,14/12/2018,09:00:00,13:00,14:00:00,19:30:00
Décembre,SAMEDI,15/12/2018,10:00:00,14:00:00,15:00,01:00:00
Décembre,DIMANCHE,16/12/2018,,,14:00,20:30:00
Décembre,LUNDI,17/12/2018,09:30:00,12:00:00,13:00,22:00:00
Décembre,MARDI,18/12/2018,,,20:00:00,03:00:00
Décembre,MERCREDI,19/12/2018,08:30:00,15:00:00,16:00:00,22:00:00
Décembre,JEUDI,20/12/2018,09:00:00,13:30:00,14:30:00,17:00:00
Décembre,VENDREDI,21/12/2018,09:00:00,13:00:00,14:00:00,18:00:00
Décembre,SAMEDI,22/12/2018,,,12:00,18:00:00
Décembre,DIMANCHE,23/12/2018,,,,
Décembre,LUNDI,24/12/2018,10:00:00,11:30,,
Décembre,MARDI,25/12/2018,,,,
Décembre,MERCREDI,26/12/2018,,,,
Décembre,JEUDI,27/12/2018,,,,
Décembre,VENDREDI,28/12/2018,09:00,13:00:00,14:00:00,19:00:00
Décembre,SAMEDI,29/12/2018,,,,
Décembre,DIMANCHE,30/12/2018,,,,
Décembre,LUNDI,31/12/2018,,,,
Janvier,MARDI,01/01/2019,,,,
Janvier,MERCREDI,02/01/2019,,,,
Janvier,JEUDI,03/01/2019,,,,
Janvier,VENDREDI,04/01/2019,,,,
Janvier,SAMEDI,05/01/2019,,,,
Janvier,DIMANCHE,06/01/2019,,,,
