Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Novembre,LUNDI,05/11/2018,08:30:00,14:00:00,14:30:00,18:00:00
Novembre,MARDI,06/11/2018,08:30:00,13:00:00,,
Novembre,MERCREDI,07/11/2018,08:30:00,13:00:00,14:00:00,21:00:00
Novembre,JEUDI,08/11/2018,09:00:00,13:00:00,14:00:00,18:00:00
Novembre,VENDREDI,09/11/2018,08:30:00,12:00:00,13:00:00,18:00
Novembre,SAMEDI,10/11/2018,,,,
Novembre,DIMANCHE,11/11/2018,,,,
Novembre,LUNDI,12/11/2018,08:30:00,12:00:00,13:00:00,19:30:00
Novembre,MARDI,13/11/2018,08:30:00,13:00:00,,
Novembre,MERCREDI,14/11/2018,08:30:00,12:00:00,13:00,00:00:00
Novembre,JEUDI,15/11/2018,08:30:00,12:00:00,13:00:00,19:00:00
Novembre,VENDREDI,16/11/2018,09:00:00,12:00,13:00:00,19:00:00
Novembre,SAMEDI,17/11/2018,,,,
Novembre,DIMANCHE,18/11/2018,,,,
Novembre,LUNDI,19/11/2018,08:30:00,12:00:00,13:00,22:30:00
Novembre,MARDI,20/11/2018,09:00:00,13:00:00,,
Novembre,MERCREDI,21/11/2018,08:30:00,14:00:00,15:00:00,23:30:00
Novembre,JEUDI,22/11/2018,09:30:00,12:00:00,13:00:00,18:00:00
Novembre,VENDREDI,23/11/2018,09:30:00,12:00:00,13:00:00,22:00:00
Novembre,SAMEDI,24/11/2018,,,,
Novembre,DIMANCHE,25/11/2018,,,,
Novembre,LUNDI,26/11/2018,08:30:00,14:00,15:00:00,20:30:00
Novembre,MARDI,27/11/2018,09:45,13:00:00,,
Novembre,MERCREDI,28/11/2018,08:30,12:00:00,13:00:00,23:00:00
Novembre,JEUDI,29/11/2018,08:30,12:00:00,13:00:00,23:00:00
Novembre,VENDREDI,30/11/2018,08:30,13:00:00,14:00:00,01:30:00
Novembre,SAMEDI,01/12/2018,10:30:00,13:00:00,14:00:00,22:00:00
Novembre,DIMANCHE,02/12/2018,,,,
