Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Septembre,LUNDI,03/09/2018,,,14:00:00,18:00:00
Septembre,MARDI,04/09/2018,09:00:00,13:00:00,14:00:00,18:00:00
Septembre,MERCREDI,05/09/2018,09:00:00,13:00:00,14:00:00,19:00:00
Septembre,JEUDI,06/09/2018,09:00:00,13:00:00,14:00:00,18:00:00
Septembre,VENDREDI,07/09/2018,09:00:00,13:30:00,14:30:00,18:00:00
Septembre,SAMEDI,08/09/2018,,,,
Septembre,DIMANCHE,09/09/2018,,,,
Septembre,LUNDI,10/09/2018,08:30:00,12:00:00,13:00:00,19:00:00
Septembre,MARDI,11/09/2018,,,,
Septembre,MERCREDI,12/09/2018,09:00:00,12:00:00,13:00,18:00:00
Septembre,JEUDI,13/09/2018,09:00:00,12:00:00,13:00,18:00:00
Septembre,VENDREDI,14/09/2018,09:00:00,12:00:00,13:00,18:00:00
Septembre,SAMEDI,15/09/2018,,,,
Septembre,DIMANCHE,16/09/2018,,,,
Septembre,LUNDI,17/09/2018,10:00:00,14:00:00,15:00,18:00:00
Septembre,MARDI,18/09/2018,09:30:00,12:00:00,,
Septembre,MERCREDI,19/09/2018,10:00:00,13:30:00,14:30:00,20:00:00
Septembre,JEUDI,20/09/2018,09:00:00,12:00:00,13:00:00,19:00:00
Septembre,VENDREDI,21/09/2018,09:00:00,13:00,14:00:00,18:00:00
Septembre,SAMEDI,22/09/2018,,,,
Septembre,DIMANCHE,23/09/2018,,,,
Septembre,LUNDI,24/09/2018,09:00:00,13:00,13:30:00,18:30:00
Septembre,MARDI,25/09/2018,09:00:00,13:00,14:00:00,18:30:00
Septembre,MERCREDI,26/09/2018,09:00:00,13:00,13:30:00,19:00:00
Septembre,JEUDI,27/09/2018,09:00:00,14:00,14:30:00,19:00:00
Septembre,VENDREDI,28/09/2018,09:00:00,12:00,13:00:00,18:00:00
Septembre,SAMEDI,29/09/2018,,,,
Septembre,DIMANCHE,30/09/2018,,,,
