Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Mai,LUNDI,07/05/2018,08:30:00,11:30:00,14:30:00,18:00:00
Mai,MARDI,08/05/2018,10:00:00,14:30:00,15:00:00,19:00:00
Mai,MERCREDI,09/05/2018,09:00:00,14:00:00,14:30:00,00:00:00
Mai,JEUDI,10/05/2018,10:00:00,12:00:00,13:00:00,18:30:00
Mai,VENDREDI,11/05/2018,09:30:00,12:00:00,12:30:00,18:00:00
Mai,SAMEDI,12/05/2018,10:00:00,13:00:00,14:00:00,21:00:00
Mai,DIMANCHE,13/05/2018,10:00:00,14:00:00,14:30:00,27:00:00
Mai,LUNDI,14/05/2018,09:30:00,17:00:00,18:00:00,20:00:00
Mai,MARDI,15/05/2018,09:30:00,12:00:00,13:00:00,20:00:00
Mai,MERCREDI,16/05/2018,,,14:00,00:00:00
Mai,JEUDI,17/05/2018,09:00:00,13:00:00,14:00:00,18:00:00
Mai,VENDREDI,18/05/2018,09:30:00,13:00,14:00:00,18:00:00
Mai,SAMEDI,19/05/2018,10:00:00,14:00:00,15:00,18:30:00
Mai,DIMANCHE,20/05/2018,10:30:00,12:00:00,12:30,19:00:00
Mai,LUNDI,21/05/2018,09:30:00,12:00:00,12:30,23:00:00
Mai,MARDI,22/05/2018,09:30:00,12:00:00,13:00:00,02:00:00
Mai,MERCREDI,23/05/2018,09:00:00,13:00:00,14:00,19:00:00
Mai,JEUDI,24/05/2018,09:30:00,12:00:00,13:00:00,18:00:00
Mai,VENDREDI,25/05/2018,09:00:00,12:00:00,13:00:00,18:00:00
Mai,SAMEDI,26/05/2018,09:00:00,12:00:00,13:00,20:00:00
Mai,DIMANCHE,27/05/2018,,,12:00,18:00:00
Mai,LUNDI,28/05/2018,09:00:00,12:00,13:00:00,19:00:00
Mai,MARDI,29/05/2018,09:00,12:00:00,13:00:00,18:30:00
Mai,MERCREDI,30/05/2018,09:00,12:00:00,13:00:00,19:00:00
Mai,JEUDI,31/05/2018,09:00,12:00:00,13:00:00,18:00:00
Juin,VENDREDI,01/06/2018,09:00,13:30:00,14:00:00,19:00:00
Juin,SAMEDI,02/06/2018,09:00:00,12:00:00,13:00:00,18:30:00
Juin,DIMANCHE,03/06/2018,07:00:00,13:00:00,,
