Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Janvier,LUNDI,01/01/2018,10:00:00,12:00:00,13:00:00,18:00:00
Janvier,MARDI,02/01/2018,10:00:00,12:00:00,13:00:00,18:00:00
Janvier,MERCREDI,03/01/2018,10:00:00,12:00:00,13:00:00,18:00:00
Janvier,JEUDI,04/01/2018,10:00:00,12:00:00,13:00:00,18:00:00
Janvier,VENDREDI,05/01/2018,10:00:00,12:00:00,13:00:00,18:00:00
Janvier,SAMEDI,06/01/2018,,,,
Janvier,DIMANCHE,07/01/2018,,,,
Janvier,LUNDI,08/01/2018,09:00:00,13:00:00,13:30:00,19:30:00
Janvier,MARDI,09/01/2018,09:00:00,13:30:00,14:30:00,18:00:00
Janvier,MERCREDI,10/01/2018,09:30:00,12:30:00,14:30,18:30:00
Janvier,JEUDI,11/01/2018,10:00:00,13:00:00,14:00:00,18:30:00
Janvier,VENDREDI,12/01/2018,,,14:30:00,18:00:00
Janvier,SAMEDI,13/01/2018,,,,
Janvier,DIMANCHE,14/01/2018,,,,
Janvier,LUNDI,15/01/2018,09:00:00,13:30:00,14:00:00,18:00:00
Janvier,MARDI,16/01/2018,09:00:00,13:30:00,14:30:00,18:00:00
Janvier,MERCREDI,17/01/2018,09:00:00,12:00:00,13:00:00,18:30:00
Janvier,JEUDI,18/01/2018,08:30:00,13:00:00,14:00:00,18:00:00
Janvier,VENDREDI,19/01/2018,,,14:00:00,18:00:00
Janvier,SAMEDI,20/01/2018,,,,
Janvier,DIMANCHE,21/01/2018,,,,
Janvier,LUNDI,22/01/2018,08:30:00,13:30:00,14:00:00,18:30:00
Janvier,MARDI,23/01/2018,08:30:00,13:30:00,14:00:00,19:00:00
Janvier,MERCREDI,24/01/2018,08:30:00,12:30:00,14:00:00,19:00:00
Janvier,JEUDI,25/01/2018,08:30:00,12:30:00,13:00:00,18:00
Janvier,VENDREDI,26/01/2018,,,14:00:00,18:00:00
Janvier,SAMEDI,27/01/2018,,,,
Janvier,DIMANCHE,28/01/2018,,,,
Janvier,LUNDI,29/01/2018,08:30:00,13:30:00,14:00:00,21:00:00
Janvier,MARDI,30/01/2018,08:00:00,10:30:00,14:30:00,18:00:00
Janvier,MERCREDI,31/01/2018,08:00:00,10:30:00,14:30:00,17:45:00
Janvier,JEUDI,01/02/2018,10:00:00,15:00:00,15:30:00,21:00:00
Février,VENDREDI,02/02/2018,,,14:00:00,00:00:00
Février,SAMEDI,03/02/2018,,,,
Février,DIMANCHE,04/02/2018,,,,
