Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Mars,LUNDI,05/03/2018,09:00:00,14:00:00,14:30:00,02:00:00
Mars,MARDI,06/03/2018,09:30:00,13:00:00,14:00:00,03:00:00
Mars,MERCREDI,07/03/2018,,,14:00:00,17:30:00
Mars,JEUDI,08/03/2018,09:00:00,12:30:00,18:00:00,07:00:00
Mars,VENDREDI,09/03/2018,,,13:30:00,20:00:00
Mars,SAMEDI,10/03/2018,10:00:00,13:00:00,13:00:00,01:00:00
Mars,DIMANCHE,11/03/2018,10:30:00,13:00:00,13:00:00,20:00:00
Mars,LUNDI,12/03/2018,10:00:00,12:00:00,13:00:00,22:00:00
Mars,MARDI,13/03/2018,09:30:00,12:30:00,14:30:00,00:00:00
Mars,MERCREDI,14/03/2018,,,14:00,18:30:00
Mars,JEUDI,15/03/2018,07:30:00,13:00:00,13:30:00,16:30:00
Mars,VENDREDI,16/03/2018,,,,
Mars,SAMEDI,17/03/2018,,,,
Mars,DIMANCHE,18/03/2018,,,,
Mars,LUNDI,19/03/2018,09:00:00,13:00:00,13:30:00,18:00:00
Mars,MARDI,20/03/2018,09:00:00,14:00:00,15:00:00,18:30:00
Mars,MERCREDI,21/03/2018,09:00:00,13:00:00,14:00:00,18:30:00
Mars,JEUDI,22/03/2018,09:00:00,13:00:00,14:00:00,18:00:00
Mars,VENDREDI,23/03/2018,09:00:00,12:00:00,13:00:00,18:00:00
Mars,SAMEDI,24/03/2018,,,,
Mars,DIMANCHE,25/03/2018,,,,
Mars,LUNDI,26/03/2018,09:30:00,14:00,14:30:00,18:30:00
Mars,MARDI,27/03/2018,10:00,13:00:00,14:00:00,18:00:00
Mars,MERCREDI,28/03/2018,10:00,13:00:00,14:00:00,18:00:00
Mars,JEUDI,29/03/2018,10:00,13:00:00,14:00:00,18:00:00
Mars,VENDREDI,30/03/2018,10:00,13:00:00,,
Mars,SAMEDI,31/03/2018,,,,
Avril,DIMANCHE,01/04/2018,,,,
