Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Octobre,LUNDI,01/10/2018,09:00:00,12:00:00,13:00:00,19:00:00
Octobre,MARDI,02/10/2018,09:00:00,12:30:00,,
Octobre,MERCREDI,03/10/2018,09:00:00,12:00:00,12:30,18:30:00
Octobre,JEUDI,04/10/2018,09:00:00,12:00:00,13:00:00,19:00:00
Octobre,VENDREDI,05/10/2018,,,,
Octobre,SAMEDI,06/10/2018,,,,
Octobre,DIMANCHE,07/10/2018,,,,
Octobre,LUNDI,08/10/2018,09:00:00,13:00:00,13:30:00,20:00:00
Octobre,MARDI,09/10/2018,09:30:00,12:00:00,,
Octobre,MERCREDI,10/10/2018,11:00:00,12:00:00,13:00,18:30:00
Octobre,JEUDI,11/10/2018,09:00:00,12:00:00,13:00:00,19:00:00
Octobre,VENDREDI,12/10/2018,10:00:00,12:00,13:00:00,19:00:00
Octobre,SAMEDI,13/10/2018,,,,
Octobre,DIMANCHE,14/10/2018,,,,
Octobre,LUNDI,15/10/2018,10:00:00,12:00:00,13:00,19:00:00
Octobre,MARDI,16/10/2018,09:00:00,12:30:00,,
Octobre,MERCREDI,17/10/2018,09:00:00,12:00:00,13:00:00,20:30:00
Octobre,JEUDI,18/10/2018,09:00:00,12:00:00,13:00:00,20:30:00
Octobre,VENDREDI,19/10/2018,09:00:00,12:00:00,13:00:00,18:30:00
Octobre,SAMEDI,20/10/2018,,,,
Octobre,DIMANCHE,21/10/2018,,,,
Octobre,LUNDI,22/10/2018,08:00:00,14:00,14:30:00,20:30:00
Octobre,MARDI,23/10/2018,08:00,12:30:00,,
Octobre,MERCREDI,24/10/2018,08:30,13:00:00,13:30:00,20:30:00
Octobre,JEUDI,25/10/2018,08:00,13:00:00,14:00:00,22:30:00
Octobre,VENDREDI,26/10/2018,08:00,13:00:00,14:00:00,20:00:00
Octobre,SAMEDI,27/10/2018,,,,
Octobre,DIMANCHE,28/10/2018,14:00:00,19:00:00,20:00:00,01:00:00
Octobre,LUNDI,29/10/2018,09:00:00,12:00:00,13:00:00,00:30:00
Octobre,MARDI,30/10/2018,09:30:00,13:00:00,14:00,16:30:00
Octobre,MERCREDI,31/10/2018,09:00:00,13:30:00,13:00:00,18:00:00
Novembre,JEUDI,01/11/2018,08:30:00,12:00:00,13:00:00,19:00:00
Novembre,VENDREDI,02/11/2018,09:00:00,13:00:00,14:00:00,18:00:00
Novembre,SAMEDI,03/11/2018,,,,
Novembre,DIMANCHE,04/11/2018,,,,
