Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Août,LUNDI,06/08/2018,09:00:00,12:30:00,13:30:00,18:30:00
Août,MARDI,07/08/2018,09:00:00,12:00:00,13:00:00,18:30:00
Août,MERCREDI,08/08/2018,09:00:00,13:00:00,14:00:00,16:00:00
Août,JEUDI,09/08/2018,09:00:00,12:00:00,13:00:00,18:30:00
Août,VENDREDI,10/08/2018,09:00:00,12:30:00,13:00:00,18:00:00
Août,SAMEDI,11/08/2018,,,,
Août,DIMANCHE,12/08/2018,,,,
Août,LUNDI,13/08/2018,09:00:00,13:00:00,14:30:00,19:00:00
Août,MARDI,14/08/2018,09:00:00,12:00:00,13:00:00,18:30:00
Août,MERCREDI,15/08/2018,,,,
Août,JEUDI,16/08/2018,09:00:00,13:30:00,14:00:00,19:00:00
Août,VENDREDI,17/08/2018,09:00:00,13:30,14:00:00,18:30:00
Août,SAMEDI,18/08/2018,,,,
Août,DIMANCHE,19/08/2018,,,,
Août,LUNDI,20/08/2018,09:00:00,14:00:00,14:30,19:00:00
Août,MARDI,21/08/2018,09:00:00,13:00:00,14:00:00,18:30:00
Août,MERCREDI,22/08/2018,08:30:00,13:00:00,13:30:00,19:00:00
Août,JEUDI,23/08/2018,08:30:00,13:30:00,14:00:00,18:00:00
Août,VENDREDI,24/08/2018,08:30:00,13:30:00,14:00:00,18:00:00
Août,SAMEDI,25/08/2018,,,,
Août,DIMANCHE,26/08/2018,,,,
Août,LUNDI,27/08/2018,09:00:00,12:00,13:00:00,19:00:00
Août,MARDI,28/08/2018,09:00,12:00:00,13:00:00,19:30:00
Août,MERCREDI,29/08/2018,09:00,14:00:00,14:30:00,18:00:00
Août,JEUDI,30/08/2018,09:00,12:00:00,13:00:00,16:00:00
Août,VENDREDI,31/08/2018,,,14:00,18:00:00
Septembre,SAMEDI,01/09/2018,,,,
Septembre,DIMANCHE,02/09/2018,,,,
