Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Juillet,LUNDI,02/07/2018,09:00:00,12:00:00,13:00:00,17:30:00
Juillet,MARDI,03/07/2018,09:00:00,12:00:00,13:00:00,19:30:00
Juillet,MERCREDI,04/07/2018,09:00:00,13:00:00,14:00:00,22:00:00
Juillet,JEUDI,05/07/2018,09:00:00,15:00:00,15:30,18:00:00
Juillet,VENDREDI,06/07/2018,09:00:00,12:00:00,13:00:00,18:00:00
Juillet,SAMEDI,07/07/2018,,,,
Juillet,DIMANCHE,08/07/2018,,,,
Juillet,LUNDI,09/07/2018,09:00:00,12:30:00,,
Juillet,MARDI,10/07/2018,09:00:00,14:00:00,15:00:00,19:00:00
Juillet,MERCREDI,11/07/2018,09:00:00,13:00:00,13:30,18:00:00
Juillet,JEUDI,12/07/2018,09:00:00,14:00:00,14:30:00,19:30:00
Juillet,VENDREDI,13/07/2018,08:30:00,12:00,13:00:00,18:00:00
Juillet,SAMEDI,14/07/2018,,,,
Juillet,DIMANCHE,15/07/2018,,,,
Juillet,LUNDI,16/07/2018,08:30:00,12:00:00,13:00,18:30:00
Juillet,MARDI,17/07/2018,09:00:00,13:30:00,14:30:00,18:00:00
Juillet,MERCREDI,18/07/2018,09:00:00,12:30:00,13:00:00,19:00:00
Juillet,JEUDI,19/07/2018,08:30:00,12:00:00,13:00:00,18:00:00
Juillet,VENDREDI,20/07/2018,09:00:00,12:00:00,13:00:00,18:00:00
Juillet,SAMEDI,21/07/2018,,,,
Juillet,DIMANCHE,22/07/2018,,,,
Juillet,LUNDI,23/07/2018,09:00:00,13:00:00,15:00:00,19:00:00
Juillet,MARDI,24/07/2018,,,,
Juillet,MERCREDI,25/07/2018,09:00:00,12:00:00,13:00:00,18:00:00
Juillet,JEUDI,26/07/2018,09:00:00,12:00:00,13:00:00,16:30:00
Juillet,VENDREDI,27/07/2018,09:00:00,12:00:00,13:00:00,18:00:00
Juillet,SAMEDI,28/07/2018,,,,
Juillet,DIMANCHE,29/07/2018,,,,
Juillet,LUNDI,30/07/2018,09:00:00,12:00:00,13:00:00,18:30:00
Juillet,MARDI,31/07/2018,09:00:00,12:00:00,13:00:00,18:30:00
Aout,MERCREDI,01/08/2018,09:00:00,13:00:00,14:00:00,18:30:00
Aout,JEUDI,02/08/2018,08:30:00,12:00:00,13:00:00,18:00:00
Aout,VENDREDI,03/08/2018,08:30:00,13:00:00,14:00:00,18:00:00
Aout,SAMEDI,04/08/2018,,,,
Aout,DIMANCHE,05/08/2018,,,,
