Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Février,LUNDI,05/02/2018,09:00:00,13:45:00,14:30:00,17:45:00
Février,MARDI,06/02/2018,09:00:00,12:30:00,14:00:00,20:00:00
Février,MERCREDI,07/02/2018,09:30:00,14:00:00,15:00:00,21:30:00
Février,JEUDI,08/02/2018,09:30:00,14:00:00,14:30:00,18:00:00
Février,VENDREDI,09/02/2018,,,14:45:00,18:30:00
Février,SAMEDI,10/02/2018,10:00:00,12:00:00,13:00:00,20:00:00
Février,DIMANCHE,11/02/2018,,,13:00:00,23:00:00
Février,LUNDI,12/02/2018,09:30:00,12:30:00,14:00:00,18:00:00
Février,MARDI,13/02/2018,09:30:00,14:00:00,14:30:00,01:00:00
Février,MERCREDI,14/02/2018,09:00:00,14:00:00,14:30,18:00:00
Février,JEUDI,15/02/2018,09:00:00,12:00:00,13:00:00,19:00:00
Février,VENDREDI,16/02/2018,09:00:00,13:00:00,13:30:00,20:00:00
Février,SAMEDI,17/02/2018,11:00:00,,,23:30:00
Février,DIMANCHE,18/02/2018,10:00:00,15:30:00,16:00,19:30:00
Février,LUNDI,19/02/2018,09:00:00,14:00:00,14:30:00,19:30:00
Février,MARDI,20/02/2018,09:00:00,12:30:00,14:00:00,01:00:00
Février,MERCREDI,21/02/2018,09:00:00,13:00:00,13:30:00,21:00:00
Février,JEUDI,22/02/2018,09:00:00,12:00:00,13:00:00,01:00:00
Février,VENDREDI,23/02/2018,09:00:00,12:30:00,14:30:00,19:00:00
Février,SAMEDI,24/02/2018,09:00:00,12:00:00,12:30:00,19:30:00
Février,DIMANCHE,25/02/2018,11:00:00,13:00:00,13:30:00,20:00:00
Février,LUNDI,26/02/2018,09:00:00,13:00,13:30:00,01:00:00
Février,MARDI,27/02/2018,09:00,12:30:00,14:00:00,01:00:00
Février,MERCREDI,28/02/2018,,,14:30:00,18:00:00
Mars,JEUDI,01/03/2018,09:00,12:30:00,13:00:00,
Mars,VENDREDI,02/03/2018,09:00:00,12:30:00,14:00:00,19:00:00
Mars,SAMEDI,03/03/2018,,,,
Mars,DIMANCHE,04/03/2018,09:00:00,12:00:00,13:00:00,19:00:00
